BIG_MESSAGE.EXTRACTION.ACTIVATED	回收站已啟用
BIG_MESSAGE.EXTRACTION.COMPLETED	回收程序已完成
FOCUS.EXTRACTION.FILL_VALUABLES	將貴重物品放入回收站
FOCUS.EXTRACTION.AVOID_GRENADES	躲避手榴彈！
FOCUS.EXTRACTION.FIND_NEXT	尋找下一個回收站
FOCUS.EXTRACTION.BACK_TO_TRUCK	返回卡車！
TUTORIAL.TRANSITION_TEXT	幹得好！
TUTORIAL.MOVEMENT.TEXT	使用 [move] 進行移動。
TUTORIAL.MOVEMENT.FOCUS_TEXT	移動以填滿進度條！
TUTORIAL.MOVEMENT.DUMMY_TEXT	在鍵盤上使用 [move] 直到進度條填滿！
TUTORIAL.JUMPING.TEXT	按下 [jump] 進行跳躍。
TUTORIAL.JUMPING.FOCUS_TEXT	跳躍以填滿進度條！
TUTORIAL.JUMPING.DUMMY_TEXT	重複按下 [jump] 直到進度條填滿！
TUTORIAL.SNEAKING.TEXT	按下 [crouch] 進行潛行。這能降低被怪物發現的機率。
TUTORIAL.SNEAKING.FOCUS_TEXT	潛行以填滿進度條！
TUTORIAL.SNEAKING.DUMMY_TEXT	按住 [crouch] 並使用 [move] 移動，直到進度條填滿！
TUTORIAL.HIDING.TEXT	使用 [crouch] 蹲下並躲藏在物體下方
TUTORIAL.HIDING.FOCUS_TEXT	躲藏以填滿進度條！
TUTORIAL.HIDING.DUMMY_TEXT	按住 [crouch] 並移至物件下方，待在原處直到進度條填滿！
TUTORIAL.SPRINTING.TEXT	按住 [sprint] 進行衝刺。這會消耗體力。
TUTORIAL.SPRINTING.FOCUS_TEXT	衝刺以填滿進度條！
TUTORIAL.SPRINTING.DUMMY_TEXT	按住 [sprint] 並使用 [move] 進行衝刺，直到進度條填滿！如果體力耗盡，請等待其恢復！
TUTORIAL.TUMBLING.TEXT	奔跑並按下 [tumble] 以華麗地摔倒。跳躍也有幫助！
TUTORIAL.TUMBLING.FOCUS_TEXT	奔跑、跳躍並摔倒以填滿進度條！
TUTORIAL.TUMBLING.DUMMY_TEXT	使用 [sprint] 奔跑，使用 [jump] 跳躍並按下 [tumble] 投擲自己。重複直到填滿進度條！
TUTORIAL.GRABBING.TEXT	使用 [grab] 抓取物體。
TUTORIAL.GRABBING.FOCUS_TEXT	搬運那個東西以填滿進度條！
TUTORIAL.GRABBING.DUMMY_TEXT	對著物體按住 [grab] 直到填滿進度條！
TUTORIAL.PUSHING_AND_PULLING.TEXT	使用 [push] 來調整抓取物體的距離。
TUTORIAL.PUSHING_AND_PULLING.FOCUS_TEXT	調整抓取物品的距離！
TUTORIAL.PUSHING_AND_PULLING.DUMMY_TEXT	對著物體按住 [grab]，並使用 [push] 來調整你抓取的物品距離！
TUTORIAL.ROTATING.TEXT	使用 [grab2] 旋轉抓取的物體。
TUTORIAL.ROTATING.FOCUS_TEXT	旋轉東西以填滿進度條！
TUTORIAL.ROTATING.DUMMY_TEXT	當使用 [grab] 拿著物體時，按住 [grab2] 並移動準星來旋轉它。旋轉直到填滿進度條！
TUTORIAL.ITEM_TOGGLING.TEXT	抓取並按下 [interact] 來開關物品。
TUTORIAL.ITEM_TOGGLING.FOCUS_TEXT	開關那個東西！
TUTORIAL.ITEM_TOGGLING.DUMMY_TEXT	使用 [grab] 抓起球，並使用 [interact] 重複開關它，直到填滿進度條！
