MAIN.PRIVATE_GAME	私人遊戲
MAIN.PUBLIC_GAME	公開遊戲
MAIN.JOIN_FRIEND	加入好友
MAIN.SINGLEPLAYER	單人模式
MAIN.TUTORIAL	新手教學
MAIN.SETTINGS	設定
MAIN.QUIT_GAME	退出遊戲
POPUP.PRIVATE_GAME.HEADER	主持遊戲
POPUP.PRIVATE_GAME.BODY	電腦配備最好的朋友\n應該擔任主機。\n\n你是那位朋友嗎？
POPUP.PRIVATE_GAME.OPT1	哈哈，沒錯！ :)
POPUP.PRIVATE_GAME.OPT2	不是我... :'(
POPUP.PUBLIC_GAME.HEADER	警告
POPUP.PUBLIC_GAME.BODY	與隨機玩家遊玩時，你可能會遇到外掛或非常惡劣的人...
POPUP.PUBLIC_GAME.OPT1	我了解
POPUP.PUBLIC_GAME.OPT2	不用了，謝謝 :(
POPUP.QUIT_GAME.HEADER	退出遊戲
POPUP.QUIT_GAME.BODY	要關閉整個應用程式嗎？
POPUP.QUIT_GAME.OPT1	是
POPUP.QUIT_GAME.OPT2	否
POPUP.SELF_DESTRUCT.HEADER	自我毀滅
POPUP.SELF_DESTRUCT.BODY	真的要這樣嗎？
POPUP.SELF_DESTRUCT.OPT1	我玩完了
POPUP.SELF_DESTRUCT.OPT2	否
SAVES.GO_BACK	< 返回
SAVES.NEW_GAME	新遊戲
SAVES.SINGLEPLAYER_MODE	單人模式
SAVES.MULTIPLAYER_MODE	多人模式
SAVES.HEADER	存檔紀錄
SAVES.PAGE_INFO.HEADER	存檔紀錄
SAVES.PAGE_INFO.DESCRIPTION	這裡記錄了你所有的樂趣，你可以從上次離開的地方繼續冒險。
SAVES.SAVE_INFO.DELETE_SAVE	刪除存檔
SAVES.SAVE_INFO.LOAD_SAVE	讀取存檔
SAVES.SAVE_INFO.USE_BACKUP	使用備份
SAVES.SAVE_INFO.CURRENT_MOON	目前月相：
POPUP.MAIN_MENU.OPT1	是
POPUP.MAIN_MENU.BODY	要返回主選單嗎？
POPUP.MAIN_MENU.HEADER	主選單
SAVES.SAVE_INFO.TOTAL_HAUL	總獲取量：
POPUP.LOAD_SAVE.HEADER	讀取存檔
POPUP.LOAD_SAVE.BODY	要讀取這個存檔嗎？
POPUP.LOAD_SAVE.OPT1	好！
POPUP.LOAD_SAVE.OPT2	否
POPUP.DELETE_SAVE.HEADER	刪除存檔
POPUP.DELETE_SAVE.BODY	你「真的確定」要永久刪除這個存檔嗎？
POPUP.DELETE_SAVE.OPT1	是的！ :')
POPUP.DELETE_SAVE.OPT2	不...
POPUP.USE_BACKUP.HEADER	從備份還原
POPUP.USE_BACKUP.BODY	要使用最新的備份覆蓋此存檔嗎？\n\n此操作無法撤銷！
POPUP.USE_BACKUP.OPT1	是的！
POPUP.USE_BACKUP.OPT2	不
REGIONS.HEADER	區域
